DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	18q12.2	18	35383832	NR	RPL7AP67			ENSG00000239683			rs11876796-T	rs11876796	0	11876796	non_coding_transcript_exon_variant	0	0.519251182640992	4E-9	8.397940008672037		0.008626059	[0.0057-0.0115] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	18q12.2	18	37547464	NR	CELF4			ENSG00000101489			rs1557341-C	rs1557341	0	1557341	intron_variant	0	0.660559906950795	4E-17	16.397940008672037		0.015578971	[0.012-0.019] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	18q12.2	18	37624640	NR	CELF4 - MIR4318	ENSG00000101489	ENSG00000266530		58813	32495	rs62081500-G	rs62081500	0	62081500	intron_variant	1	0.0445286398709915	8E-9	8.096910013008056		0.020608574	[0.014-0.028] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	18q12.2	18	37771913	NR	RPL12P40 - RN7SKP182	ENSG00000243516	ENSG00000222704		98737	1244134	rs1187219-C	rs1187219	0	1187219	intergenic_variant	1	0.325955035817574	5E-10	9.301029995663981		0.009948833	[0.0068-0.0131] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	18q21.1	18	46670205	NR	ST8SIA5			ENSG00000101638			rs2469903-G	rs2469903	0	2469903	3_prime_UTR_variant	0	0.690823578477723	3E-8	7.522878745280337		0.008746645	[0.0056-0.0119] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	18q21.2	18	52862824	NR	DCC			ENSG00000187323			rs7232516-A	rs7232516	0	7232516	intron_variant	0	0.13214080133673	1E-11	11.0		0.014884895	[0.011-0.019] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	18q23	18	79815871	NR	KCNG2			ENSG00000178342			rs34945223-G	rs34945223	0	34945223	intron_variant	0	0.264600317104439	2E-8	7.698970004336019		0.009511384	[0.0062-0.0128] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	20q13.12	20	46052214	NR	SLC12A5			ENSG00000124140			rs12624433-A	rs12624433	0	12624433	intron_variant	0	0.257043985058978	2E-11	10.698970004336019		0.012529465	[0.0089-0.0162] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	20q13.12	20	47212407	NR	ZMYND8			ENSG00000101040			rs910187-A	rs910187	0	910187	intron_variant	0	0.374591552949093	3E-10	9.522878745280337		0.009757282	[0.0067-0.0128] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	20q13.13	20	49426433	NR	KCNB1			ENSG00000158445			rs6019826-T	rs6019826	0	6019826	intron_variant	0	0.133029739739794	2E-9	8.698970004336019		0.012884907	[0.0087-0.0171] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	20q13.13	20	49513791	NR	PTGIS			ENSG00000124212			rs495146-T	rs495146	0	495146	intron_variant	0	0.257396429819546	4E-8	7.3979400086720375		0.009245888	[0.0059-0.0125] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	20q13.2	20	52295956	NR	LINC01524			ENSG00000234948			rs10485622-G	rs10485622	0	10485622	intron_variant	0	0.189050838928876	5E-8	7.301029995663981		0.010493384	[0.0067-0.0143] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	2q23.1	2	147946396	NR	ORC4			ENSG00000115947			rs3768684-C	rs3768684	0	3768684	intron_variant	0	0.36653401758706	2E-14	13.698970004336019		0.014421395	[0.011-0.018] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	2q24.1	2	155115606	NR	RNU6-1001P - MTCO1P45	ENSG00000223197	ENSG00000232982		26068	147852	rs13396259-G	rs13396259	0	13396259	intergenic_variant	1	0.302220948325682	1E-10	10.0		0.010302779	[0.0072-0.0134] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	2q24.1	2	156278352	NR	LINC01876 - NR4A2	ENSG00000226383	ENSG00000153234		23402	46085	rs1431965-C	rs1431965	0	1431965	intergenic_variant	1	0.208964038600037	2E-12	11.698970004336019		0.013455757	[0.0097-0.0172] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	13q21.32	13	67197592	NR	PCDH9			ENSG00000184226			rs1983949-A	rs1983949	0	1983949	intron_variant	0	0.535317591061467	2E-8	7.698970004336019		0.008316609	[0.0054-0.0112] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	13q21.33	13	68798568	NR	RN7SL761P - LINC00550	ENSG00000243671	ENSG00000281778		104487	62716	rs9564496-A	rs9564496	0	9564496	intergenic_variant	1	0.318386555429878	3E-11	10.522878745280337		0.010474703	[0.0074-0.0136] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	13q21.33	13	69283476	NR	LINC00383			ENSG00000235221			rs7989827-G	rs7989827	0	7989827	intron_variant	0	0.491061030600168	1E-10	10.0		0.009457398	[0.0066-0.0123] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	1p34.3	1	36762600	NR	FTLP18 - GRIK3	ENSG00000230214	ENSG00000163873		131743	32927	rs6425999-C	rs6425999	0	6425999	intergenic_variant	1	0.228733609084903	2E-13	12.698970004336019		0.01294944	[0.0095-0.0164] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	1p34.3	1	37201507	NR	MIR4255 - RNU6-636P	ENSG00000264698	ENSG00000207328		39873	2103	rs215815-A	rs215815	0	215815	intron_variant	1	0.299007681683826	5E-11	10.301029995663981		0.010577068	[0.0074-0.0137] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	13q31.1	13	78677271	NR	OBI1 - RPL21P111	ENSG00000152193	ENSG00000237109		18116	83904	rs9601116-A	rs9601116	0	9601116	intergenic_variant	1	0.183351229610739	3E-9	8.522878745280337		0.011243656	[0.0075-0.015] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	13q31.1	13	84683800	NR	LINC00333 - LINC00375	ENSG00000233349	ENSG00000226370		120564	381287	rs9546806-T	rs9546806	0	9546806	intergenic_variant	1	0.61120670771832	2E-8	7.698970004336019		0.008464913	[0.0055-0.0114] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	13q31.3	13	93388782	NR	GPC6			ENSG00000183098			rs8001600-C	rs8001600	0	8001600	intron_variant	0	0.346269094825123	4E-10	9.397940008672037		0.009654392	[0.0066-0.0127] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	13q32.2	13	98453638	NR	STK24, FARP1			ENSG00000102572, ENSG00000152767			rs9517313-C	rs9517313	0	9517313	3_prime_UTR_variant	0	0.378737472698586	4E-13	12.397940008672037		0.011334392	[0.0083-0.0144] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	14q12	14	29559285	NR	RNU11-5P - PRKD1	ENSG00000212518	ENSG00000184304		82373	17194	rs12436091-C	rs12436091	0	12436091	intergenic_variant	1	0.760005541309597	1E-9	9.0		0.0104343705	[0.0071-0.0138] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	14q21.1	14	41355241	NR	LINC02315 - LRFN5-DT	ENSG00000251363	ENSG00000258636		205932	228416	rs7154329-G	rs7154329	0	7154329	intergenic_variant	1	0.499543509176449	2E-8	7.698970004336019		0.008201325	[0.0053-0.0111] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	14q21.1	14	41606749	NR	LRFN5-DT - LRFN5	ENSG00000258636	ENSG00000165379		1761	127	rs1111179-T	rs1111179	0	1111179	regulatory_region_variant	1	0.511500935950343	3E-8	7.522878745280337		0.008134178	[0.0052-0.011] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	14q24.1	14	69142781	NR	DCAF5			ENSG00000139990			rs1147479-C	rs1147479	0	1147479	intron_variant	0	0.362162341113387	6E-9	8.221848749616356		0.009019024	[0.006-0.0121] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	14q24.3	14	74697438	NR	AREL1			ENSG00000119682			rs12587457-T	rs12587457	0	12587457	intron_variant	0	0.506078786895446	4E-17	16.397940008672037		0.012463888	[0.0096-0.0154] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	14q24.3	14	74764250	NR	YLPM1			ENSG00000119596			rs45599947-T	rs45599947	0	45599947	missense_variant	0	0.0744519405716642	3E-8	7.522878745280337		0.015483722	[0.01-0.021] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	1p33	1	47219005	NR	TAL1			ENSG00000162367			rs977747-G	rs977747	0	977747	3_prime_UTR_variant	0	0.592143417685155	5E-8	7.301029995663981		0.008257128	[0.0053-0.0112] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	15q14	15	35972762	NR	LINC02853			ENSG00000259245			rs1510386-C	rs1510386	0	1510386	intron_variant	0	0.47969022344798	1E-8	8.0		0.008478208	[0.0056-0.0114] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	15q21.1	15	47210154	NR	SEMA6D			ENSG00000137872			rs12914084-C	rs12914084	0	12914084	intron_variant	0	0.391782826277472	3E-8	7.522878745280337		0.011118742	[0.0072-0.015] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	15q21.1	15	47714527	NR	SEMA6D			ENSG00000137872			rs12910903-G	rs12910903	0	12910903	intron_variant	0	0.40921690793255	5E-8	7.301029995663981		0.0081071425	[0.0052-0.011] unit decrease	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
2019-03-18	30643256	Baselmans BML	2019-01-14	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/30643256	Multivariate genome-wide analyses of the well-being spectrum.	Neuroticism	523,783 European ancestry individuals	59,206 European ancestry individuals	15q22.31	15	63696566	NR	HERC1			ENSG00000103657			rs17186681-T	rs17186681	0	17186681	intron_variant	0	0.198520639931766	3E-8	7.522878745280337		0.010271766	[0.0067-0.0139] unit increase	NR [NR]	N	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST007339	Genome-wide genotyping array
